best 1
fast 1
smooth 1
cool 1
high 1
nice 1
excellent 1
bad -1
expensive -1
worst -1
worse -1
slow -1
better 1
ugly -1
ok 1
decent 1
bright 1
dull -1
small -1
big 1
large 1
less -1
few -1
complex -1
friendly 1
slim 1
bulky -1
well 1
latency -1
great 1
many 1
Supreme 1
noisy -1
uncomfortable -1
unique 1
waste -1
robust 1
inferior -1
superior 1
easy 1
difficult -1
painful -1
cheap 1
concrete 1
dirty -1
impractical -1
quick 1
beautiful 1
good 1
hot -1
cool 1
lousy -1
fragile -1
low 1
heating -1
tough -1
light 1
Light 1
perfect 1
correct 1
accurate 1
incorrect -1
wrong -1
white 1
sound 1
hard -1
black -1
heavy 1
outstanding 1
defective -1
clear 1
right 1
full 1
cloud 1
wide 1
proper 1
dependable 1
entire 1
broken -1
simple 1
complete 1
vital 1
near 1
effective 1
speedy 1
powerful 1
reliable 1
beneficial 1
separate -1
comfortable 1
inefficient -1
extensive 1
efficient 1
secure 1
agile 1
legal 1
tight 1
raw 1
ready 1
first 1
total 1
new 1
live 1
middle 1
back 1
realize -1
beat -1
final 1
singular 1
old -1
open 1
recent 1
smart 1
advanced 1
serious 1
terrible -1
free 1
implement 1
modern 1
tremendous 1
virtual 1
alright 1
last 1
natural 1
support 1
late -1
immediate 1
extended 1
enough 1
cold 1
backup 1
deep -1
thin 1
second 1
previous -1
instant 1
terrific -1
rapid 1
front -1
inexpensive 1
critical 1
end 1
little -1
top 1
innovative 1
painless 1
save 1
short -1
resilient 1
long 1
safe 1
provide 1
broad 1
artificial -1
much 1
net -1
web 1
wonderful 1
close 1
true 1
capable 1
utmost 1
add 1
able 1
fine 1
maximum 1
common 1
single 1
multiple 1
minimal -1
individual 1
sophisticated -1
remote 1
private 1
public 1
peak 1
audio 1
early 1
mean 1
push 1
exclusive 1
strong 1
internet 1
adequate 1
fantastic 1
rich 1
solid 1
start -1
spectacular 1
enormous 1
whole 1
poor -1
abstract -1
extreme 1
sturdy -1
straight 1
flexible 1
direct 1
direct 1
elastic 1
humble -1
satisfying 1
manageable 1
concentrated -1
unclear 1
subject -1
world-class 1
straightforward 1
horrible -1
productive 1
con 1
content 1
naive 1
slight -1
average 1
rid -1
healthy 1
advance 1
primitive 1
uneasy -1
pull -1
write 1
minimum -1
leading 1
minor -1
labour 1
professional 1
continue 1
file 1
major 1
unstable -1
static 1
fluent 1
wise 1
go 1
stop -1
accelerate 1
clean 1
quiet 1
connect 1
speed 1
dynamic -1
stable 1
brilliant 1
lean -1
next 1
achievable 1
prime 1
intensive 1
fair 1
prompt 1
confused -1
unparalleled 1
amateur -1
limit 1
initiative 1
sizable 1
reasonable 1
premier 1
boring -1
stellar -1
green -1
practical 1
costless -1
rare 1
former -1
remarkable 1
mature 1
supreme 1
superb 1
bare 1
build 1
remain 1
enterprise 1
exact 1
problematic -1
progressive 1
unreliable -1
upgrade 1
future 1
distributed 1
past -1
crisp 1
nervous -1
consume -1
present 1
active 1
crude -1
impenetrable -1
form 1
all-encompassing 1
marvellous 1
nimble 1
loyal 1
intermediate -1
marginal 1
understand 1
marvelous 1
cautious 1
grow 1
weak -1
rigid -1
matured 1
secretive 1
decisive 1
outside 1
give -1
expert 1
technical 1
dependent -1
favorable 1
lowering -1
plenty 1
main 1
meet 1
tiresome -1
nontechnical -1
external 1
internal 1
unable -1
blue -1
dual -1
contact 1
genuine 1
primary 1
variant 1
substantial -1
tolerant 1
actual 1
all-inclusive 1
possible 1
real 1
publish 1
vary -1
quality 1
need 1
following 1
impossible 1
lacking -1
tangible 1
elegant 1
fixed 1
neural -1
technological 1
illogical -1
feature 1
lucid 1
demo 1
noteworthy 1
significant 1
important 1
independent 1
touch 1
consistent 1
polished 1
grade 1
transparent 1
affect 1
logical 1
unacceptable 1
likely -1
satisfactory 1
inconsistent -1
secondary -1
uniform 1
international 1
undifferentiated 1
lack -1
acceptable 1
tier 1
boast 1
unbelievable 1
incredible 1
crucial 1
essential 1
necessary 1
impress 1
unnecessary -1
nigh 1
requirement 1
work 1
cover 1
win 1
potential 1
prominent 1
usual -1
okay 1
prosperous 1
excessive -1
lead 1
fake -1
ample 1
intelligent 1
bottom 1
promising 1
keen 1
honest 1
young 1
curious 1
odd -1
sharp 1
precise 1
fresh 1
liberal 1
plain 1
uncomplicated 1
spark 1
base 1
plentiful 1
unusual 1
awkward -1
principal 1
minute -1
rough -1
regular 1
steady 1
model 1
infrastructure 1
unmatched -1
call 1
familiar 1
unpredictable -1
refreshing 1
radical 1
unrivalled 1
revolutionary 1
senior 1
predictable 1
sap 1
ultra 1
saturated -1
flash 1
firm 1
receptive 1
deficient -1
drive 1
lite 1
transfer -1
soft 1
aggregate 1
relax -1
act 1
sufficient 1
stress 1
aggregated 1
tension 1
qualified -1
pseudo -1
alive 1
alert 1
mediocre 1
operate 1
pro -1
bumpy -1
dark -1
full-grown 1
restricted -1
learn 1
striking 1
awful -1
sensitive 1
amazing 1
integral 1
create 1
fit 1
scorch -1
project -1
premature -1
awesome 1
certified -1
unknown -1
built-in 1
arduous -1
inbuilt 1
stand 1
adapt 1
credible -1
resistant 1
cumbersome -1
lengthy 1
expand 1
side -1
indispensable 1
allow -1
empty -1
idle 1
grand 1
appropriate -1
rocky -1
incompatible 1
incomplete -1
false -1
elusive -1
evident 1
lag -1
compatible -1
equal 1
accept 1
alternate -1
alternative -1
copious 1
benefit -1
thick -1
trivial -1
intolerant -1
edge -1
lucky 1
busy -1
temporary -1
select 1
dramatic 1
send 1
consecutive 1
upper 1
driving 1
requisite 1
phase 1
disconnect -1
successive 1
fancy -1
autonomous 1
required 1
needed 1
immature 1
horrendous -1
half -1
face -1
potent 1
interactive -1
apparent 1
rigorous 1
screen -1
inflexible -1
severe -1
miss -1
known 1
extend 1
joint 1
engaged -1
aspect -1
exemplary 1
